0,0.940205,0.620676,0.696684,0.620676
1,0.001142,0.087508,0.244167,0.087508
2,0.293150,0.536207,0.727113,0.536207
3,0.925189,0.416135,0.979314,0.416135
4,0.910373,0.093877,0.332667,0.093877
5,0.541371,0.288066,0.420567,0.288066
6,0.244866,0.212278,0.984774,0.212278
7,0.856489,0.273642,0.689675,0.273642
8,0.507634,0.424844,0.197825,0.424844
9,0.565550,0.517160,0.010695,0.517160
10,0.318124,0.252189,0.828521,0.252189
11,0.344768,0.579928,0.433162,0.579928
12,0.764796,0.640862,0.347876,0.640862
13,0.804721,0.599713,0.777922,0.599713
14,0.375859,0.968504,0.585879,0.968504
15,0.603660,0.266607,0.305620,0.266607
16,0.500162,0.115411,0.448805,0.115411
17,0.220981,0.115290,0.607843,0.115290
18,0.598239,0.102504,0.109190,0.102504
19,0.890843,0.633705,0.220921,0.633705
