2,0.064393,0.108138,0.720680,0.108138,0
1,0.114083,0.726525,0.638897,0.726525,0
2,0.139103,0.053856,0.274259,0.053856,0
3,0.516379,0.216170,0.875358,0.216170,0
4,0.838526,0.982232,0.719182,0.982232,0
5,0.498032,0.884909,0.970822,0.884909,0
6,0.013457,0.503490,0.984890,0.503490,0
7,0.492154,0.613994,0.474436,0.613994,0
8,0.874064,0.164483,0.223126,0.164483,0
9,0.851115,0.282423,0.266491,0.282423,0
10,0.606735,0.771114,0.717999,0.771114,0
11,0.770042,0.802239,0.665754,0.802239,0
12,0.229213,0.761531,0.815584,0.761531,0
13,0.698587,0.454628,0.806324,0.454628,0
14,0.184013,0.130112,0.373044,0.130112,0
15,0.740987,0.026787,0.784031,0.026787,0
16,0.170112,0.402222,0.227291,0.402222,0
17,0.544395,0.249577,0.072356,0.249577,0
18,0.712932,0.159762,0.183178,0.159762,0
19,0.175500,0.035954,0.707890,0.035954,0
